users.devtodev_ID,payments.Date,payments.devtodev_ID,payments.Amount_in_USD
115243,1.59841E+12,115243,34.99
115417,1.59845E+12,115417,1.99
115430,1.59846E+12,115430,3.99
115430,1.59846E+12,115430,3.99
70582,1.59707E+12,70582,5.0764537
70582,1.59708E+12,70582,5.0764537
70582,1.59708E+12,70582,5.0764537
95256,1.59758E+12,95256,2.4733493
70333,1.59764E+12,70333,19.99
70333,1.59764E+12,70333,17.99
70333,1.59765E+12,70333,17.99
95256,1.59767E+12,95256,5.0906506
105110,1.59779E+12,105110,17.99
95256,1.59779E+12,95256,5.107373
105295,1.59786E+12,105295,5.107373
105475,1.59792E+12,105475,4.614918
105475,1.59792E+12,105475,4.614918
105626,1.59802E+12,105626,3.99
110063,1.59802E+12,110063,3.99
110063,1.59802E+12,110063,3.99
110063,1.59802E+12,110063,17.99
105626,1.59805E+12,105626,17.99
110243,1.59811E+12,110243,2.118792
110063,1.5982E+12,110063,17.99
110762,1.59823E+12,110762,2.4739158
30256,1.59634E+12,30256,3.99
30256,1.59634E+12,30256,17.99
30457,1.59643E+12,30457,19.99
30457,1.59643E+12,30457,17.99
30397,1.59659E+12,30397,24.851727
30397,1.59659E+12,30397,5.0907435
10002,1.59584E+12,10002,4.9758945
10002,1.59584E+12,10002,4.9758945
10002,1.59584E+12,10002,2.417594
10002,1.59586E+12,10002,4.9758945
15126,1.596E+12,15126,19.99
15126,1.596E+12,15126,3.99
30012,1.59614E+12,30012,5.0512724
30065,1.59617E+12,30065,3.99
115127,1.59839E+12,115127,17.99
115178,1.5984E+12,115178,3.99
115385,1.59845E+12,115385,3.99
115385,1.59845E+12,115385,3.99
80085,1.5972E+12,80085,17.99
75007,1.59724E+12,75007,42.32977
90063,1.59739E+12,90063,19.99
90063,1.59739E+12,90063,17.99
90063,1.59739E+12,90063,17.99
90063,1.59742E+12,90063,17.99
80085,1.59744E+12,80085,3.99
80085,1.59744E+12,80085,17.99
105062,1.59778E+12,105062,19.99
105287,1.59786E+12,105287,18.179502
110034,1.59801E+12,110034,5.146796
110036,1.59801E+12,110036,22.479195
110029,1.59801E+12,110029,5.146796
110029,1.59801E+12,110029,2.5006285
110036,1.59801E+12,110036,112.44889
110036,1.59801E+12,110036,22.479195
110036,1.59825E+12,110036,42.527794
30011,1.59618E+12,30011,19.99
30011,1.59618E+12,30011,3.99
30011,1.59618E+12,30011,3.99
40167,1.59688E+12,40167,17.99
70258,1.59693E+12,70258,34.99
70258,1.59706E+12,70258,3.99
30011,1.59708E+12,30011,3.99
30011,1.59708E+12,30011,3.99
30011,1.59708E+12,30011,3.99
30011,1.59708E+12,30011,3.99
30011,1.59708E+12,30011,3.99
80087,1.5972E+12,80087,3.99
95357,1.59763E+12,95357,3.99
105205,1.59782E+12,105205,3.99
105205,1.59782E+12,105205,3.99
105205,1.59784E+12,105205,17.99
105347,1.59788E+12,105347,5.107373
105586,1.59797E+12,105586,3.99
110169,1.59808E+12,110169,3.99
110169,1.59808E+12,110169,3.99
110169,1.59808E+12,110169,3.99
110169,1.59808E+12,110169,3.99
105107,1.59815E+12,105107,3.99
105107,1.59816E+12,105107,3.99
105107,1.59825E+12,105107,3.99
111023,1.5983E+12,111023,5.0918164
15107,1.59629E+12,15107,22.310846
35117,1.5965E+12,35117,17.99
35117,1.59654E+12,35117,3.99
35117,1.59654E+12,35117,3.99
35117,1.59655E+12,35117,3.99
35117,1.59656E+12,35117,3.99
35117,1.59656E+12,35117,3.99
35117,1.59656E+12,35117,17.99
35117,1.59658E+12,35117,3.99
35117,1.59659E+12,35117,3.99
50001,1.59666E+12,50001,3.99
40167,1.59679E+12,40167,17.99
115027,1.59841E+12,115027,17.99
115027,1.59846E+12,115027,3.99
70315,1.59695E+12,70315,3.99
85147,1.59735E+12,85147,35.229538
115027,1.59837E+12,115027,3.99
115027,1.59837E+12,115027,3.99
115027,1.59838E+12,115027,1.99
111007,1.59838E+12,111007,1.99
35026,1.59647E+12,35026,2.4727993
20069,1.59607E+12,20069,19.99
20069,1.59607E+12,20069,3.99
20094,1.59609E+12,20094,17.99
110627,1.59846E+12,110627,3.99
70170,1.59689E+12,70170,5.1021147
70720,1.59712E+12,70720,3.99
70720,1.59712E+12,70720,3.99
70720,1.59712E+12,70720,3.99
70720,1.59712E+12,70720,3.99
70720,1.59712E+12,70720,1.99
70720,1.59712E+12,70720,3.99
70720,1.59712E+12,70720,3.99
80034,1.59717E+12,80034,4.1174607
95057,1.59745E+12,95057,1.99
95057,1.59745E+12,95057,3.99
95057,1.59745E+12,95057,1.99
105174,1.59781E+12,105174,3.99
105174,1.59781E+12,105174,17.99
105324,1.59788E+12,105324,22.307009
105571,1.59803E+12,105571,3.99
105571,1.59803E+12,105571,3.99
110079,1.59803E+12,110079,17.99
110079,1.59803E+12,110079,9.99
110079,1.59807E+12,110079,17.99
110486,1.59817E+12,110486,4.64697
110627,1.5982E+12,110627,19.99
110627,1.5982E+12,110627,3.99
110627,1.5983E+12,110627,3.99
110170,1.5983E+12,110170,3.99
110170,1.5983E+12,110170,3.99
111056,1.5983E+12,111056,5.0918164
111056,1.5983E+12,111056,5.0918164
111056,1.59831E+12,111056,22.239063
111056,1.59831E+12,111056,11.767462
111056,1.59831E+12,111056,22.239063
20069,1.59627E+12,20069,17.99
20069,1.59627E+12,20069,3.99
30127,1.59628E+12,30127,4.6754823
35071,1.59652E+12,35071,22.229025
40163,1.5966E+12,40163,3.99
40163,1.59677E+12,40163,3.99
50134,1.5968E+12,50134,5.104739
50134,1.5968E+12,50134,2.4801946
50134,1.5968E+12,50134,5.104739
115197,1.59844E+12,115197,3.99
115197,1.59844E+12,115197,1.99
35012,1.59723E+12,35012,4.6202197
85104,1.5973E+12,85104,1.99
85164,1.59734E+12,85164,3.99
85164,1.59735E+12,85164,3.99
85164,1.59736E+12,85164,3.99
95230,1.59755E+12,95230,19.99
